,Trial,SessionType,Cell,Animal,ByCellType,ByFit,ByPValue
1,bk26-0323,FixedDistance,Distance,bk26,43,29,3
2,bk26-0326,FixedDistance,Distance,bk26,32,21,3
3,bk26-0401,FixedDistance,Distance,bk26,66,36,22
4,bk33-0723,FixedDistance,Distance,bk33,28,22,6
5,bk35-0827,FixedDistance,Distance,bk35,48,30,10
6,bk41-0317,FixedDistance,Distance,bk41,27,18,3
7,bk41-0406,FixedDistance,Distance,bk41,9,5,2
8,bk49-0217,FixedDistance,Distance,bk49,28,15,12
9,bk49-0222,FixedDistance,Distance,bk49,41,26,21
19,bk26-0323,FixedDistance,Time,bk26,22,11,0
20,bk26-0326,FixedDistance,Time,bk26,27,20,3
21,bk26-0401,FixedDistance,Time,bk26,21,6,3
22,bk33-0723,FixedDistance,Time,bk33,5,1,0
23,bk35-0827,FixedDistance,Time,bk35,13,8,1
24,bk41-0317,FixedDistance,Time,bk41,10,6,1
25,bk41-0406,FixedDistance,Time,bk41,18,13,2
26,bk49-0217,FixedDistance,Time,bk49,18,7,4
27,bk49-0222,FixedDistance,Time,bk49,9,1,2
46,bk35-0831,FixedTime,Distance,bk35,16,10,0
47,bk35-0902,FixedTime,Distance,bk35,15,9,1
48,bk41-0325,FixedTime,Distance,bk41,10,5,0
49,bk41-0331,FixedTime,Distance,bk41,10,1,1
50,bk45-0803,FixedTime,Distance,bk45,4,3,0
51,bk45-0812,FixedTime,Distance,bk45,4,3,0
52,bk45-0826,FixedTime,Distance,bk45,5,5,1
53,bk49-0210,FixedTime,Distance,bk49,15,10,0
54,bk49-0214,FixedTime,Distance,bk49,8,5,2
64,bk35-0831,FixedTime,Time,bk35,28,23,6
65,bk35-0902,FixedTime,Time,bk35,21,10,2
66,bk41-0325,FixedTime,Time,bk41,14,6,2
67,bk41-0331,FixedTime,Time,bk41,15,9,1
68,bk45-0803,FixedTime,Time,bk45,11,7,3
69,bk45-0812,FixedTime,Time,bk45,13,9,5
70,bk45-0826,FixedTime,Time,bk45,14,6,1
71,bk49-0210,FixedTime,Time,bk49,35,17,13
72,bk49-0214,FixedTime,Time,bk49,35,19,16
